,genres,artist_name,name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,cluster
183866,Movie,Idina Menzel,It's Good to Be Back in Vegas! - Live,17,0.0317,0.67,1.0602166666666666,0.469,0.0,0.4,-11.043,0.267,111.568,0.526,5
7710,Country,Marty Robbins,Singing the Blues,43,0.391,0.546,2.4273333333333333,0.469,0.0,0.091,-8.967,0.0289,142.712,0.779,5
94704,Indie,EDEN,gold,58,0.612,0.7,3.27835,0.454,0.0,0.379,-9.574,0.172,97.032,0.583,2
79592,Opera,Alfredo Kraus,Ramona,23,0.944,0.254,3.322216666666667,0.258,2.45e-06,0.104,-13.294,0.0355,85.835,0.232,9
115988,Rap,Smooky MarGielaa,Vlone Flex,64,0.0416,0.746,2.22345,0.622,0.0,0.0933,-5.976,0.0533,108.015,0.361,1
106388,Opera,Alfredo Kraus,Valencia,11,0.96,0.454,2.842216666666667,0.532,0.000843,0.219,-7.897,0.0454,118.425,0.54,2
188724,Ska,Bomb the Music Industry!,"King of Minneapolis, Pt. III & IV",19,0.0435,0.211,3.2453333333333334,0.988,0.0,0.712,-5.227,0.208,191.704,0.0373,7
157760,Ska,Less Than Jake,Al's War,34,0.0203,0.437,3.0688833333333334,0.977,2.75e-06,0.311,-3.556,0.13,141.404,0.505,6
112023,Pop,Logic,44 Bars,67,0.363,0.708,3.0377833333333335,0.612,0.0,0.204,-8.939,0.302,94.274,0.341,1
42906,Folk,Mandolin Orange,Wake Me,50,0.946,0.551,4.69755,0.329,0.436,0.105,-11.897,0.0344,135.142,0.344,2
98188,Children’s Music,Erykah Badu,Appletree,60,0.0931,0.88,4.422883333333333,0.454,0.000125,0.0759,-10.882,0.0773,94.865,0.576,1
200555,Soundtrack,Kyle Dixon & Michael Stein,What Else Is There to Do?,36,0.214,0.263,1.9973333333333334,0.364,0.844,0.143,-17.008,0.0481,120.729,0.0375,3
176052,Jazz,Bonobo,Pieces,44,0.367,0.659,4.460683333333333,0.438,0.407,0.223,-11.933,0.0418,96.94,0.113,2
57608,Opera,Giuseppe Verdi,"Rigoletto / Act 1: ""Questa o quella""",51,0.939,0.527,1.9833333333333334,0.194,0.00446,0.047,-17.578,0.0474,107.083,0.566,2
186147,Ska,Long Beach Dub Allstars,Take Warning,23,0.00686,0.468,3.4048833333333333,0.64,0.000271,0.265,-7.788,0.116,185.683,0.591,6
